name,lat,lon
"Centrepoint Mall",49.2586967,-123.10166
"Chinatown Plaza",49.2790602,-123.1012676
"City Square Shopping Centre",49.2608927,-123.116407
"Denman Place Mall",49.2887673,-123.1389566
"Harbour Centre",49.2846809,-123.1118953
"Il Mercato",49.2700721,-123.0703818
"International Village",49.2802838,-123.1066624
"Kids Market",49.2703015,-123.1359968
"King Edward Mall",49.2486251,-123.126128
"Mall",45.6434175,-122.5295034
"Mall",49.2317065,-123.1186057
"Pacific Centre Mall",49.2833304,-123.1178342
"Robson Public Market",49.2894924,-123.1329067
"Sinclair Centre",49.2859794,-123.1138913
"Sun Wah Centre",49.2792066,-123.0980645
"Vancouver Centre",49.281871,-123.1180394
"Vancouver Mall",45.6582641,-122.5836906